Timestamp               Ty Process[PID:TID]
2026-07-17 01:10:51.676 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=384
2026-07-17 01:10:54.677 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=385
2026-07-17 01:10:57.645 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=353
2026-07-17 01:11:00.727 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=435
2026-07-17 01:11:03.712 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=419
2026-07-17 01:11:06.646 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=353
2026-07-17 01:11:09.644 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=352
2026-07-17 01:11:12.635 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=343
2026-07-17 01:11:15.567 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=267
2026-07-17 01:11:15.640 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=348
2026-07-17 01:11:18.635 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=343
2026-07-17 01:11:21.660 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=368
2026-07-17 01:11:24.841 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=550
2026-07-17 01:11:27.646 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=354
2026-07-17 01:11:30.642 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=350
2026-07-17 01:11:33.633 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=341
2026-07-17 01:11:36.625 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=332
